-0.279689,-10.9032,-35.1921,0.24481,-0.0449943,91.6207

0,10,30,0,0,200
-0.329701,-9.59301,-32.4168,0.132388,0.023548,192.784

0,10,30,0,0,300
-0.0983772,-9.11058,-34.2929,0.106386,0.0865999,282.344

0,10,30,0,0,400
number of leds were detected: 4

0,10,30,0,0,500
number of leds were detected: 4

0,10,30,0,0,550
-0.895805,-9.53814,-30.0498,0.137665,0.0486124,580.553

0,15,0,0,0,100
-0.898374,-17.6949,-0.166278,0.0259514,-0.100881,100.429

0,15,0,0,0,200
-0.0475789,-15.9929,-0.0529127,0.00841682,0.0155487,199.097

0,15,0,0,0,300
-0.376217,-14.4793,-0.587683,0.0977233,0.056672,301.7

0,15,0,0,0,400
0.190012,-15.8894,-0.627914,0.102225,0.0264496,391.883

0,15,0,0,0,500
0.145283,-13.5078,-0.193536,0.0318569,0.108319,515.633

0,15,0,0,0,550
-0.083705,-15.3367,-0.496862,0.083222,0.182414,542.145

0,15,5,0,0,100
-0.950277,-17.2982,-5.11676,-0.00892471,-0.10746,99.5085

0,15,5,0,0,200
-0.276925,-16.638,-5.75681,0.0145838,-0.0227684,198.244

0,15,5,0,0,300
-0.632914,-15.975,-6.932,0.0808379,0.0139203,299.129

0,15,5,0,0,400
0.711218,-13.6835,-3.83641,0.0467901,0.111314,388.788

0,15,5,0,0,500
number of leds were detected: 4

0,15,5,0,0,550
number of leds were detected: 4

0,15,10,0,0,100
-0.98855,-17.9004,-11.3492,0.117617,-0.114428,99.2996

0,15,10,0,0,200
number of leds were detected: 6

0,15,10,0,0,300
-0.677762,-15.4957,-10.1186,-0.0389017,-0.00469851,294.292

0,15,10,0,0,400
0.576019,-14.6613,-9.60081,-0.0532744,0.0865874,380.251

0,15,10,0,0,500
-0.172777,-13.5847,-11.1026,0.150849,0.162278,528.574

0,15,10,0,0,550
-0.266123,-13.4789,-10.3283,0.160482,0.0395451,540.112

0,15,15,0,0,100
