ROLL,PITCH,YAW,Y,Z,X
-25.196,2.53668,-5.52374,0.0281794,0.0380854,89.1945

25,0,10,0,0,30
-25.6392,7.2178,-15.1997,0.250972,0.124712,27.9011

25,0,10,0,0,50
-25.1968,5.72248,-12.5336,0.153452,0.0786722,48.1795

25,0,10,0,0,70
-25.0694,4.91293,-11.0027,0.0917535,0.0475765,68.5469

25,0,10,0,0,90
-24.8454,4.85723,-10.556,0.0584675,0.0466871,87.9408

25,0,15,0,0,30
-25.8751,10.1244,-22.7396,0.337861,0.167997,26.3173

25,0,15,0,0,50
-25.0061,8.3463,-18.556,0.231247,0.111328,46.7885

25,0,15,0,0,70
-25.0698,7.79951,-16.8206,0.129722,0.0893637,67.0996

25,0,15,0,0,90
-24.9257,7.18552,-15.9796,0.0894031,0.0872182,86.7527

25,5,0,0,0,30
-25.9904,-7.72069,-3.50193,0.0603784,-0.124002,29.9842

25,5,0,0,0,50
number of leds were detected: 4

25,5,0,0,0,70
-25.168,-5.43124,-3.06547,0.0200974,-0.0372999,70.0786

25,5,0,0,0,90
number of leds were detected: 6

25,5,5,0,0,30
number of leds were detected: 6

25,5,5,0,0,50
-25.6118,-3.33648,-9.09969,0.124607,-0.0272195,49.2015

25,5,5,0,0,70
-25.268,-2.87005,-7.6979,0.0536242,-0.00739102,69.5262

25,5,5,0,0,90
-25.4922,-2.44701,-7.96168,0.086186,0.00195558,89.5407

25,5,10,0,0,30
-26.5178,-0.523416,-18.3569,0.300206,0.0039879,27.8894

25,5,10,0,0,50
-25.7052,-0.350812,-14.8014,0.181491,-0.00525031,48.2057

25,5,10,0,0,70
-25.1884,-0.236555,-13.5525,0.0945192,0.00876236,68.405

25,5,10,0,0,90
number of leds were detected: 4

25,5,15,0,0,30
-26.7709,2.7489,-25.5159,0.387187,0.0494233,26.3507

25,5,15,0,0,50
-25.3759,2.2917,-20.6655,0.256223,0.0437572,46.9048

25,5,15,0,0,70
number of leds were detected: 6

25,5,15,0,0,90
-25.1561,1.90312,-17.6568,0.120602,0.0324369,87.16

25,10,0,0,0,30
number of leds were detected: 4

25,10,0,0,0,50
-26.5018,-12.292,-5.62481,0.0780223,-0.134253,50.1687

25,10,0,0,0,70
-25.9289,-10.8401,-4.72622,0.0492124,-0.0971058,70.0785

25,10,0,0,0,90
number of leds were detected: 4

25,10,5,0,0,30
number of leds were detected: 6

25,10,5,0,0,50
-26.4492,-9.0947,-11.4712,0.157603,-0.105621,49.2162

25,10,5,0,0,70
-26.0934,-8.40337,-10.6842,0.115906,-0.0921763,69.6501

25,10,5,0,0,90
-26.0183,-7.93297,-9.70592,0.0679979,-0.0519225,89.3047

25,10,10,0,0,30
number of leds were detected: 4

25,10,10,0,0,50
-26.406,-6.51708,-17.4012,0.213751,-0.0826498,48.264

25,10,10,0,0,70
-25.8446,-6.12773,-15.424,0.120187,-0.0567867,68.5835

25,10,10,0,0,90
-25.5999,-5.79784,-15.5228,0.116567,-0.0559676,88.0272

25,10,15,0,0,30
-27.6762,-4.35624,-28.1921,0.436969,-0.0584278,26.5175

25,10,15,0,0,50
number of leds were detected: 4

25,10,15,0,0,70
-25.4758,-3.12698,-21.3611,0.183999,0.0103967,67.442

25,10,15,0,0,90
number of leds were detected: 6

25,15,0,0,0,30
number of leds were detected: 3

25,15,0,0,0,50
-27.6438,-18.0642,-8.4322,0.105057,-0.216754,50.1669

25,15,0,0,0,70
-26.6616,-16.4479,-7.94526,0.105082,-0.138441,70.4737

25,15,0,0,0,90
-26.4894,-16.1009,-7.74242,0.0656054,-0.105568,91.0973

25,15,5,0,0,30
number of leds were detected: 6

25,15,5,0,0,50
number of leds were detected: 4

25,15,5,0,0,70
-14.732,nan,nan,nan,-nan,nan

25,15,5,0,0,90
number of leds were detected: 6

25,15,10,0,0,30
-28.8139,-15.346,-23.8524,0.376991,-0.237949,28.1612

25,15,10,0,0,50
number of leds were detected: 6

25,15,10,0,0,70
-26.4251,-11.3087,-18.1452,0.149654,-0.105908,68.6708

25,15,10,0,0,90
-26.0791,-11.1241,-17.5113,0.114577,-0.0861132,88.145

25,15,15,0,0,30
-28.7718,-11.6437,-30.2146,0.466689,-0.168561,26.8598

25,15,15,0,0,50
number of leds were detected: 6

25,15,15,0,0,70
-26.0951,-8.92729,-23.2074,0.19851,-0.0461963,67.7778

25,15,15,0,0,90
number of leds were detected: 4

35,0,0,0,0,30
-35.0331,-0.00413024,-0.0455895,0.0059711,0.00775872,30.0215

35,0,0,0,0,50
-35.0095,-0.00841778,0.0811337,-0.0117989,0.0141579,50.0746

35,0,0,0,0,70
-34.6671,-0.0670871,-0.106367,0.0161579,0.0123145,69.9052

35,0,0,0,0,90
-34.4186,-0.0891126,-0.133065,0.0207558,0.0158187,89.7974

35,0,5,0,0,30
-35.5258,4.91697,-6.96213,0.115498,0.0869113,29.0435

35,0,5,0,0,50
-35.2736,3.68224,-5.44843,0.0586779,0.0580781,49.0799

35,0,5,0,0,70
-34.945,3.26311,-4.89548,0.0711311,0.0419726,69.5284

35,0,5,0,0,90
-35.0317,15.1599,-52.6132,0.00247383,0.0236208,41.5694

35,0,10,0,0,30
-35.967,9.51245,-13.6466,0.216184,0.160905,27.6554

35,0,10,0,0,50
number of leds were detected: 4

35,0,10,0,0,70
-34.8899,7.11545,-10.1017,0.075823,0.078621,67.9931

35,0,10,0,0,90
number of leds were detected: 6

35,0,15,0,0,30
-36.2378,13.8408,-19.8073,0.29195,0.220683,25.9364

35,0,15,0,0,50
-35.3632,11.4663,-15.9936,0.179692,0.147118,46.361

35,0,15,0,0,70
-34.5768,-15.9286,52.4723,0.0742118,0.0487044,32.4655

35,0,15,0,0,90
number of leds were detected: 4

35,5,0,0,0,30
-36.0184,-6.86083,-4.88239,0.0896683,-0.107322,30.0667

35,5,0,0,0,50
number of leds were detected: 6

35,5,0,0,0,70
number of leds were detected: 6

35,5,0,0,0,90
-35.0647,-5.1405,-3.82583,0.033457,-0.035735,89.4108

35,5,5,0,0,30
number of leds were detected: 6

35,5,5,0,0,50
-35.7535,-1.74393,-9.14053,0.110686,-0.0109632,49.0855

35,5,5,0,0,70
number of leds were detected: 6

35,5,5,0,0,90
number of leds were detected: 6

35,5,10,0,0,30
-36.6391,2.67405,-17.8759,0.287439,0.0538118,27.6135

35,5,10,0,0,50
number of leds were detected: 4

35,5,10,0,0,70
-35.3286,1.87415,-13.5315,0.100229,0.0211568,67.6635

35,5,10,0,0,90
number of leds were detected: 6

35,5,15,0,0,30
-36.8068,6.85073,-23.9322,0.350811,0.119504,25.8655

35,5,15,0,0,50
number of leds were detected: 4

35,5,15,0,0,70
number of leds were detected: 6

35,5,15,0,0,90
number of leds were detected: 4

35,10,0,0,0,30
number of leds were detected: 6

35,10,0,0,0,50
-36.4459,-10.92,-7.61151,0.0803397,-0.117041,50.2096

35,10,0,0,0,70
-36.0297,78.6537,34.9812,0.0638501,-0.125476,84.8045

35,10,0,0,0,90
-35.5371,-9.70655,-6.53202,0.0410347,-0.0675275,89.4337

35,10,5,0,0,30
-37.4149,-8.72536,-15.7556,0.274989,-0.134473,29.1573

35,10,5,0,0,50
number of leds were detected: 4

35,10,5,0,0,70
-35.8415,-6.38339,-12.0176,0.121239,-0.0533755,69.3138

35,10,5,0,0,90
number of leds were detected: 6

35,10,10,0,0,30
-37.5577,-3.99582,-21.7702,0.364696,-0.0521625,27.7628

35,10,10,0,0,50
number of leds were detected: 4

35,10,10,0,0,70
-35.805,-3.12484,-16.4965,0.130097,-0.0383998,67.7338

35,10,10,0,0,90
number of leds were detected: 6

35,10,15,0,0,30
-37.577,0.457296,-27.6039,0.432383,0.0137318,26.0487

35,10,15,0,0,50
-35.9792,0.254453,-23.0822,0.277689,0.00746187,46.4293

35,10,15,0,0,70
number of leds were detected: 6

35,10,15,0,0,90
number of leds were detected: 4

35,15,0,0,0,30
-38.5585,-19.9643,-13.7655,0.255869,-0.33679,30.5548

35,15,0,0,0,50
-37.5469,-15.9025,-11.3091,0.152257,-0.186508,50.5093

35,15,0,0,0,70
-36.9608,-14.8582,-11.0106,0.104795,-0.14703,69.9005

35,15,0,0,0,90
-36.6313,-14.0575,-9.98284,0.0889533,-0.109455,89.4964

35,15,5,0,0,30
-38.6451,-15.3837,-19.5314,0.333191,-0.252326,29.4015

35,15,5,0,0,50
number of leds were detected: 6

35,15,5,0,0,70
-36.7284,-11.3023,-15.1457,0.153756,-0.112174,69.3949

35,15,5,0,0,90
number of leds were detected: 6

35,15,10,0,0,30
-38.7265,-10.3594,-25.322,0.427848,-0.167476,27.9975

35,15,10,0,0,50
number of leds were detected: 3

35,15,10,0,0,70
-36.3276,-7.84418,-19.6491,0.174039,-0.0841141,68.0377

35,15,10,0,0,90
number of leds were detected: 6

35,15,15,0,0,30
-38.5372,-5.87825,-30.4922,0.474762,-0.0847218,26.3753

35,15,15,0,0,50
-36.5754,-4.80704,-25.8888,0.295153,-0.0534874,46.5672

35,15,15,0,0,70
number of leds were detected: 6

35,15,15,0,0,90
number of leds were detected: 4
